,APPLICATION_STATUS,QUEUE_ID,CURRENT_STAGE,MARITAL_STATUS,GENDER,AGE,EDUCATION,RESIDENCE_TYPE,EMPLOY_CONSTITUTION,PAN_STATUS,CIBIL_SCORE,APPLICATION_SCORE,RESIDENTIAL_ADDRESS_SCORE,OFFICE_ADDRESS_SCORE,APPLIED_AMOUNT,LOAN_TENOR,PRIMARY_ASSET_CTG,PRIMARY_ASSET_MAKE,PRIMARY_ASSET_MODELNO,VOTER_ID,DRIVING_LICENSE,AADHAAR,PAN,BANK_PASSBOOK,APPLIED_AMOUNT_TRANS
18,Approved,Straight  Through Process,PD_DE,Married,Male,51,UNDER GRADUATE,OWNED,SELF-EMPLOYED,ERROR,837,42,0.0,71.43,30000,10,AIR CONDITIONER,HAIER,AIR CONDITIONER VANILLA,F,F,T,T,F,173
19,Approved,Under.Writer,APRV,Married,Male,27,PROFESSIONAL,OWNED,SALARIED,Pan Not Submitted,772,50,89.19,0.0,40000,12,LED_TV,HAIER,LE32M600,F,F,T,F,F,200
20,Approved,Straight  Through Process,APRV,Single,Male,40,UNDER GRADUATE,OWNED,SELF-EMPLOYED,ERROR,784,86,92.68,0.0,52500,18,AIR CONDITIONER,PANASONIC,CS/CU-US18SKY,F,F,F,T,F,229
21,Approved,Straight  Through Process,APRV,Single,Male,25,GRADUATE,RENTED,SALARIED,Pan Not Submitted,774,101,93.98,65.82,25000,12,Washing_machine,SAMSUNG,WT62H2210HV/TL,F,T,F,F,F,158
22,Declined,Straight  Through Process,PD_DE,Married,Female,26,GRADUATE,OWNED,SALARIED,ERROR,723,13,83.23,0.0,40000,12,AC,LG,LSA24VTDH,F,F,T,T,F,200
23,Approved,Straight  Through Process,PD_DE,Single,Male,24,GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,-10,13,72.11,57.98,40000,12,AIR CONDITIONER,SAMSUNG,AR12JC3HATPNNA,F,F,T,F,F,200
24,Approved,Straight  Through Process,APRV,Married,Male,31,GRADUATE,OWNED,SALARIED,ERROR,786,88,69.81,0.0,43000,18,AIR CONDITIONER,PANASONIC,S-48PBY1H59,F,F,F,T,F,207
25,Approved,Straight  Through Process,APRV,Married,Male,37,GRADUATE,OWNED,SALARIED,ERROR,-10,13,0.0,0.0,37000,10,AIR CONDITIONER,LG,JS-Q18PWXA,F,F,T,T,F,192
26,Declined,Under.Writer,PD_DE,Single,Male,30,GRADUATE,OWNED,SALARIED,ERROR,812,114,0.0,0.0,40000,10,AIR CONDITIONER,DAIKIN,DTF35RRV161/RFD35RRV161,T,F,T,T,F,200
27,Approved,Straight  Through Process,APRV,Single,Male,38,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,806,58,87.06,57.94,50000,12,AIR CONDITIONER,SAMSUNG,AR24MV3HEWKNNA,F,F,T,T,F,224
28,Declined,Straight  Through Process,DCLN,Single,Male,24,GRADUATE,RENTED,SALARIED,Pan Not Submitted,645,83,83.46,0.0,25000,10,LED_TV,SAMSUNG,UA22F5100ARLXL,F,T,F,F,F,158
29,Declined,Straight  Through Process,DCLN,Married,Male,45,GRADUATE,RENTED,SALARIED,ERROR,672,90,50.35,42.11,20000,12,REF,LG,GL-U372HPBL,F,F,T,T,F,141
30,Approved,Under.Writer,APRV,Married,Female,39,OTHERS,RENTED,SELF-EMPLOYED,ERROR,-10,33,47.95,58.78,50000,12,AC,LG,BSA18BEYD,F,F,T,T,F,224
31,Approved,Straight  Through Process,PD_DE,Married,Male,25,GRADUATE,RENTED,SALARIED,ERROR,-10,13,72.13,0.0,20000,12,REF,LG,GL-D221ASDX,F,F,T,T,F,141
32,Approved,Straight  Through Process,APRV,Married,Male,37,GRADUATE,RENTED,SALARIED,Pan Not Submitted,800,134,68.97,92.92,14900,10,TELEVISION,SONY,KLV-24P413D IN5,F,F,T,F,F,122
33,Declined,Straight  Through Process,DCLN,Married,Female,35,GRADUATE,RENTED,SALARIED,Pan Not Submitted,737,58,77.06,58.5,15000,12,REF,SAMSUNG,RR19K273ZRZ/NL,F,F,T,F,F,122
34,Declined,Under.Writer,PD_DE,Married,Female,35,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,-10,33,73.91,77.27,60000,12,REF,WHIRLPOOL,NEO FR278 PRM NOVA STEEL 3S,F,T,F,T,F,245
35,Declined,Straight  Through Process,DCLN,Married,Male,33,OTHERS,OWNED,SALARIED,ERROR,705,54,63.33,0.0,60000,12,LED_TV,SONYNEW,KDL-43W800D IN5,F,F,T,T,F,245
36,Approved,Straight  Through Process,APRV,Married,Male,45,GRADUATE,OWNED,SALARIED,ERROR,-10,13,77.21,0.0,46000,12,AC,BLUESTAR,2HW12OC1,F,F,F,T,F,214
37,Approved,Straight  Through Process,PD_DE,Married,Male,31,GRADUATE,RENTED,SALARIED,ERROR,740,17,0.0,0.0,65000,12,LED_TV,LG,49LH600T,F,F,T,T,F,255
38,Declined,Under.Writer,DCLN,Married,Male,43,GRADUATE,RENTED,SALARIED,ERROR,-10,13,75.59,0.0,30000,10,REF,WHIRLPOOL,215 ICEMAGIC ROY 4S WINE EXOTICA,T,F,T,T,F,173
39,Declined,Straight  Through Process,DCLN,Married,Male,37,GRADUATE,OWNED,SALARIED,ERROR,509,21,79.51,58.29,20000,10,AC,WHIRLPOOL,ACE 8.2 TURBO DRY  FLORAL PURPLE,T,F,F,T,F,141
40,Declined,Straight  Through Process,DCLN,Married,Male,50,GRADUATE,RENTED,SALARIED,ERROR,625,6,0.0,53.09,50000,10,LED_TV,LG,43LH600T,F,F,T,T,F,224
41,Approved,Straight  Through Process,APRV,Married,Male,33,GRADUATE,RENTED,SELF-EMPLOYED,ERROR,811,100,0.0,0.0,15000,12,REF,GODREJ,RD EdgePro 190CT 5.2 LUSH Win,F,F,F,T,F,122
42,Approved,Straight  Through Process,APRV,Married,Male,44,OTHERS,OWNED,PARTNERSHIP,ERROR,778,60,58.33,62.28,30000,18,REF,LG,GL-195RLGE4,F,F,T,T,F,173
43,Declined,Under.Writer,PD_DE,Married,Male,35,OTHERS,OWNED,SELF-EMPLOYED,ERROR,-10,13,77.95,47.75,25000,10,REF,SAMSUNG,RT28K3083S9/NL,F,F,T,T,F,158
44,Approved,Straight  Through Process,PD_DE,Married,Male,30,OTHERS,RENTED,SELF-EMPLOYED,ERROR,789,115,61.69,61.69,50000,18,LED_TV,PHILIPS,32PFL5270,F,F,F,T,F,224
45,Approved,Straight  Through Process,PD_DE,Married,Male,26,OTHERS,RENTED,SALARIED,ERROR,778,73,60.18,0.0,35000,12,AIR CONDITIONER,SAMSUNG,AR12JC3HATPNNA,F,F,T,T,F,187
46,Approved,Under.Writer,APRV,Single,Male,24,POST-GRADUATE,RENTED,SALARIED,ERROR,760,44,0.0,0.0,40000,12,REF,GODREJ,RD EdgePro 190CT 5.2INDIGOFLOR,F,F,T,T,F,200
47,Declined,Straight  Through Process,PD_DE,Single,Male,30,GRADUATE,OWNED,PRIVATE LIMITED COMPANY,ERROR,814,114,0.0,0.0,40000,10,AIR CONDITIONER,DAIKIN,DTF35RRV161/RFD35RRV161,T,F,T,T,F,200
48,Declined,Under.Writer,DCLN,Married,Male,34,GRADUATE,RENTED,SELF-EMPLOYED,ERROR,806,112,94.01,69.78,50000,12,Washing_machine,LG,FH0B8NDL22,F,F,T,T,F,224
49,Declined,Straight  Through Process,PD_DE,Married,Male,28,UNDER GRADUATE,OWNED,SALARIED,Pan Not Submitted,0,-2,83.87,74.17,20000,12,REF,SAMSUNG,RR19M1823RZ/HL,F,F,T,F,F,141
50,Approved,Straight  Through Process,PD_DE,Married,Male,25,GRADUATE,OWNED,SALARIED,ERROR,-10,13,70.48,0.0,25000,12,REF,LG,GL-Q282SPZL,F,T,T,T,F,158
51,Approved,Straight  Through Process,PD_DE,Married,Female,43,UNDER GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,804,84,83.91,90.37,15000,10,AC,GODREJ,WS EDGEPRO 800CS Lilac Sprinkle,F,F,T,F,F,122
52,Approved,Straight  Through Process,PD_DE,Single,Male,24,GRADUATE,OWNED,SALARIED,Pan Not Submitted,753,92,76.35,71.43,16000,10,REF,WHIRLPOOL,200 GENIUS CLS PLUS 4S WINE FIESTA,T,T,F,F,F,126
53,Approved,Straight  Through Process,APRV,Married,Male,29,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,-10,13,77.6,87.5,30000,10,REF,SAMSUNG,RT30K3723S8/HL,F,F,F,T,F,173
54,Declined,Straight  Through Process,DCLN,Married,Male,26,UNDER GRADUATE,RENTED,SELF-EMPLOYED,ERROR,730,79,78.36,81.71,20000,12,TELEVISION,MICROMAX,43A7200MHD 43   LED,F,F,T,T,F,141
55,Declined,Under.Writer,DCLN,Married,Male,30,POST-GRADUATE,RENTED,SALARIED,ERROR,-10,13,46.43,47.9,30000,10,REF,WHIRLPOOL,NEO IF305 ELT STEEL REGALIA 3S,F,F,F,T,F,173
56,Declined,Under.Writer,DCLN,Single,Male,22,GRADUATE,RENTED,SALARIED,ERROR,-10,13,77.14,0.0,30000,12,REF,WHIRLPOOL,REFRIGERATORS VANILLA,F,F,T,T,F,173
57,Approved,Straight  Through Process,APRV,Married,Male,26,GRADUATE,OWNED,SALARIED,Pan Not Submitted,801,72,82.14,0.0,30000,12,LED_TV,SAMSUNG,UA32K4000ARLXL,F,F,T,F,F,173
58,Approved,Straight  Through Process,APRV,Married,Male,50,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,787,111,0.0,54.7,20000,12,REF,HAIER,HRB-3654PSL-R,F,F,T,T,F,141
59,Declined,Straight  Through Process,DCLN,Married,Male,48,OTHERS,OWNED,SALARIED,Pan Not Submitted,618,47,71.76,58.33,60000,10,LED_TV,SAMSUNG,UA43KU6000KMXL,F,F,T,F,F,245
60,Approved,Straight  Through Process,PD_DE,Married,Male,45,POST-GRADUATE,OWNED,SALARIED,ERROR,783,91,78.63,57.84,35000,10,AIR CONDITIONER,LG,JS-Q12NRXA,F,F,F,T,F,187
61,Approved,Straight  Through Process,APRV,Married,Male,32,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,-10,13,79.63,81.63,100000,18,HDTV,LG,49UH850T,F,F,F,T,F,316
62,Declined,Straight  Through Process,PD_DE,Married,Male,30,UNDER GRADUATE,RENTED,SALARIED,Pan Not Submitted,604,68,0.0,63.38,15500,12,REF,WHIRLPOOL,215 ICEMAG ROY 4S SAPPHIRE EXOTICA,F,T,F,F,F,124
63,Declined,Straight  Through Process,DCLN,Married,Male,33,GRADUATE,OWNED,SALARIED,Pan Not Submitted,602,33,75.48,0.0,30500,12,LED_TV,LG,49LB5510,F,F,T,F,T,175
64,Declined,Straight  Through Process,PD_DE,Married,Male,52,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,576,47,66.0,82.73,100000,10,AIR CONDITIONER,LG,JS-Q18NPXA,F,T,F,T,F,316
65,Declined,Straight  Through Process,PD_DE,Married,Male,27,GRADUATE,OWNED,SALARIED,ERROR,610,53,88.76,69.32,18000,20,REF,LG,GL-B201ASAW,F,F,T,T,F,134
66,Approved,Straight  Through Process,APRV,Married,Male,48,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,-10,13,88.89,92.45,50000,12,REF,LG,GL-U402JHSL,F,F,T,T,F,224
67,Declined,Under.Writer,DCLN,Married,Male,49,GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,-10,38,72.18,74.02,50000,18,LED_TV,SONY,KLV-40W562D,F,F,T,F,F,224
68,Declined,Under.Writer,DCLN,Single,Male,27,OTHERS,OWNED,SELF-EMPLOYED,ERROR,-10,13,84.62,0.0,55000,12,TELEVISION,SONY,KDL-43W800D IN5,F,F,T,T,F,235
69,Approved,Under.Writer,PD_DE,Married,Male,36,OTHERS,RENTED,SALARIED,ERROR,-10,13,73.28,0.0,32500,12,LED_TV,LG,43LH547A,F,F,F,T,F,180
70,Approved,Under.Writer,PD_DE,Married,Male,44,UNDER GRADUATE,RENTED,SALARIED,ERROR,791,49,67.68,57.33,36000,10,HDTV,VIDEOCON,VNJ42FH28S,F,F,F,T,F,190
71,Declined,Straight  Through Process,DCLN,Married,Female,40,UNDER GRADUATE,OWNED,SALARIED,Pan Not Submitted,0,-2,84.56,73.73,14000,10,REF,SAMSUNG,RR2115CCASA/TL,F,F,T,F,F,118
72,Approved,Straight  Through Process,SRNV,Married,Male,41,UNDER GRADUATE,RENTED,SALARIED,Pan Not Submitted,804,73,0.0,0.0,38000,10,AIR CONDITIONER,LG,JS-Q18AUXA,F,T,T,F,F,195
73,Approved,Under.Writer,APRV,Married,Male,26,GRADUATE,RENTED,SALARIED,ERROR,782,76,81.15,81.15,22700,18,LED_TV,SAMSUNG,UA32FH4003RMXL,F,F,T,T,F,151
74,Declined,Straight  Through Process,DCLN,Married,Male,45,UNDER GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,655,38,79.82,78.89,20000,10,REF,SAMSUNG,RT30K3723S8/HL,F,F,T,F,F,141
75,Approved,Straight  Through Process,PD_DE,Single,Male,28,OTHERS,OWNED,SELF-EMPLOYED,ERROR,-10,13,52.74,0.0,37000,10,LED_TV,INTEX,LED-5010 FHD,F,F,T,T,F,192
76,Declined,Under.Writer,DCLN,Married,Male,45,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,-10,13,74.51,76.04,15000,12,REF,SAMSUNG,RR19H1835PX/TL,F,F,F,T,F,122
77,Approved,Under.Writer,PD_DE,Single,Male,22,UNDER GRADUATE,OWNED,SALARIED,Pan Not Submitted,-10,13,0.0,0.0,15000,12,LED_TV,SONY,KLV-40W562D,T,F,T,F,F,122
78,Declined,Straight  Through Process,DCLN,Married,Male,42,OTHERS,OWNED,SALARIED,Pan Not Submitted,618,80,81.3,0.0,15000,12,Washing_machine,INTEX,WMS80TG,F,F,T,F,F,122
79,Declined,Straight  Through Process,PD_DE,Single,Male,26,UNDER GRADUATE,OWNED,SELF-EMPLOYED,ERROR,0,3,58.87,0.0,58000,12,HDTV,VIDEOCON,VNJ50FH28S,F,F,F,T,F,241
80,Declined,Straight  Through Process,PD_DE,Married,Female,30,GRADUATE,RENTED,SELF-EMPLOYED,ERROR,0,12,49.09,39.22,50000,18,LED_TV,SONY,KLV-40W562D,F,F,F,T,F,224
81,Declined,Under.Writer,PD_DE,Single,Male,32,UNDER GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,-10,13,82.57,85.59,30000,12,AIR CONDITIONER,LLOYD,LS19A3L 3 STAR 1.5 TON,T,F,T,F,T,173
82,Approved,Straight  Through Process,APRV,Married,Male,39,POST-GRADUATE,OWNED,SALARIED,Pan Not Submitted,812,78,56.34,60.64,40000,10,AC,VOLTAS,123 CYe,F,F,T,F,F,200
83,Approved,Straight  Through Process,PD_DE,Married,Male,25,GRADUATE,OWNED,SALARIED,Pan Not Submitted,811,75,80.11,0.0,13000,10,Washing_machine,LG,P8072R3F,F,T,T,F,F,114
84,Declined,Straight  Through Process,PD_DE,Married,Male,48,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,737,66,68.91,67.91,100000,18,TELEVISION,SONY,KDL-55W800C IN5,F,F,T,T,F,316
85,Declined,Under.Writer,DCLN,Single,Male,26,GRADUATE,OWNED,SALARIED,Pan Not Submitted,0,37,0.0,0.0,50000,18,LED_TV,SONYNEW,KDL-50W950D IN5,F,F,T,F,F,224
86,Approved,Straight  Through Process,PD_DE,Married,Male,25,GRADUATE,OWNED,SALARIED,ERROR,-10,13,85.11,0.0,20000,10,LED_TV,PANASONIC,TH-32C200DX,F,F,F,T,F,141
87,Declined,Straight  Through Process,PD_DE,Married,Male,34,UNDER GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,576,7,76.58,78.95,22000,10,LED_TV,LG,32LH564A,T,F,T,F,F,148
88,Approved,Straight  Through Process,APRV,Single,Male,25,UNDER GRADUATE,OWNED,SALARIED,ERROR,790,115,98.31,53.19,13500,10,REF,SAMSUNG,RR19J2744SZ/NL,F,T,F,T,F,116
89,Declined,Under.Writer,PD_DE,Married,Male,44,UNDER GRADUATE,RENTED,SALARIED,ERROR,791,49,69.7,57.33,36000,10,HDTV,VIDEOCON,VNJ42FH28S,F,F,F,T,F,190
90,Approved,Straight  Through Process,PD_DE,Married,Male,26,GRADUATE,RENTED,SALARIED,ERROR,779,95,37.93,58.59,37000,18,LED_TV,SAMSUNG,UA32K5570AUMXL,T,F,F,T,F,192
91,Approved,Straight  Through Process,APRV,Married,Male,29,GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,771,72,77.87,88.07,35000,18,LED_TV,PANASONIC,TH-32C200DX,F,F,T,F,F,187
92,Approved,Straight  Through Process,APRV,Married,Female,51,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,847,112,72.73,79.35,25000,12,MICROWAVE,LG,MC2886SFU,F,F,F,T,F,158
93,Approved,Straight  Through Process,APRV,Married,Male,39,UNDER GRADUATE,OWNED,SALARIED,Pan Not Submitted,751,114,81.76,0.0,35000,10,LED_TV,PANASONIC,TH-32C460DX,T,T,F,F,F,187
94,Approved,Straight  Through Process,APRV,Married,Male,41,GRADUATE,OWNED,SALARIED,ERROR,795,24,85.16,74.84,68000,12,TELEVISION,SONY,KDL-40W562D,F,F,T,T,F,261
95,Declined,Under.Writer,DCLN,Married,Male,35,GRADUATE,RENTED,SELF-EMPLOYED,ERROR,-10,55,76.19,81.91,70000,10,HOME THEATRE,TARGET,K1110 FM,F,F,F,T,F,265
96,Approved,Under.Writer,APRV,Married,Male,37,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,-10,13,86.11,86.11,52000,9,AIR CONDITIONER,PANASONIC,CS/CU-YC18RKY3-1,F,F,F,T,F,228
97,Declined,Straight  Through Process,DCLN,Single,Male,31,OTHERS,OWNED,SALARIED,ERROR,617,42,0.0,76.92,50000,12,LED_TV,LG,32LN4900,F,F,F,T,F,224
98,Declined,Under.Writer,DCLN,Married,Male,43,POST-GRADUATE,OWNED,SELF-EMPLOYED,ERROR,738,120,58.44,47.92,79000,18,LED_TV,SAMSUNG,UA50J5570AULXL,F,T,F,T,F,281
99,Approved,Straight  Through Process,APRV,Married,Female,55,GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,789,104,70.8,70.8,24000,12,LED_TV,INTEX,LED TV-3218,T,F,T,F,F,155
100,Approved,Straight  Through Process,PD_DE,Married,Female,31,POST-GRADUATE,OWNED,SALARIED,ERROR,816,104,76.58,0.0,38000,14,AIR CONDITIONER,LG,JS-Q12WTXD,F,F,F,T,F,195
101,Approved,Straight  Through Process,APRV,Married,Male,49,GRADUATE,OWNED,SALARIED,Pan Not Submitted,809,88,77.17,64.76,20000,10,CHIMNEY,GLEN,CHIMNEY VANILLA,T,F,F,F,F,141
102,Declined,Under.Writer,DCLN,Married,Male,40,GRADUATE,OWNED,SALARIED,Pan Not Submitted,-10,13,70.63,81.11,35000,10,AIR CONDITIONER,DAIKIN,DTF35RRV161/RFD35RRV161,F,T,F,F,T,187
103,Declined,Straight  Through Process,DCLN,Married,Male,58,GRADUATE,OWNED,SALARIED,ERROR,610,59,0.0,88.0,30000,12,REF,WHIRLPOOL,FP 263D PROTTON ROY WINE ALPHA N,F,F,F,T,F,173
104,Approved,Straight  Through Process,APRV,Married,Female,26,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,772,60,84.92,78.9,37500,10,AIR CONDITIONER,MITSUBISHI,SRK 18 CSS 6,F,F,T,T,F,194
105,Approved,Straight  Through Process,APRV,Married,Female,39,GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,783,80,89.23,86.07,30000,12,AC,IFB,TL-SDR 6.5KG AQUA,F,F,T,F,F,173
106,Declined,Straight  Through Process,DCLN,Married,Male,40,GRADUATE,RENTED,SELF-EMPLOYED,ERROR,606,59,52.13,0.0,60000,10,LED_TV,INTEX,LED-3222,F,F,T,T,F,245
107,Approved,Under.Writer,INV_GNR,Married,Male,41,UNDER GRADUATE,OWNED,SALARIED,ERROR,781,60,75.45,65.52,25990,10,TELEVISION,VU,T43D1510,F,F,T,T,F,161
108,Approved,Straight  Through Process,APRV,Married,Male,40,GRADUATE,RENTED,SELF-EMPLOYED,ERROR,826,120,50.76,66.38,37500,10,AIR CONDITIONER,HITACHI,RAU318IWD,F,F,F,T,F,194
109,Declined,Under.Writer,DCLN,Single,Male,25,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,-10,13,94.78,0.0,47700,18,LED_TV,SAMSUNG,UA40K5570AUMXL,T,F,T,T,F,218
110,Declined,Straight  Through Process,DCLN,Married,Male,35,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,575,59,58.54,0.0,21000,12,REF,WHIRLPOOL,NEO FR278 PRM NOVA STEEL 3S,F,F,T,T,F,145
111,Approved,Straight  Through Process,PD_DE,Single,Male,27,GRADUATE,OWNED,SALARIED,Pan Not Submitted,769,56,92.86,66.2,26000,18,AIR CONDITIONER,WHIRLPOOL,1T MAGICOOL DLX COPR 3S -WHITE GOLD,F,T,F,F,F,161
112,Approved,Straight  Through Process,APRV,Married,Male,32,GRADUATE,RENTED,SALARIED,ERROR,821,110,80.3,65.25,40000,18,REF,WHIRLPOOL,NEO FR278 PRM NOVA STEEL 3S,F,F,T,T,F,200
113,Approved,Under.Writer,PD_DE,Married,Female,22,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,-10,13,68.38,68.27,30000,12,AIR CONDITIONER,PANASONIC,CW-KC1816YA,F,F,T,T,F,173
114,Declined,Straight  Through Process,DCLN,Married,Female,53,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,745,69,0.0,0.0,55000,12,AIR CONDITIONER,SAMSUNG,ASV185PBB,F,F,T,T,F,235
115,Approved,Straight  Through Process,APRV,Married,Male,48,GRADUATE,OWNED,SALARIED,ERROR,794,57,68.57,0.0,40000,12,HDTV,VIDEOCON,VNF43FH11F,F,F,T,T,F,200
116,Approved,Under.Writer,APRV,Married,Male,30,OTHERS,OWNED,SALARIED,ERROR,-10,13,71.97,0.0,35000,10,TELEVISION,SONY,KDL-32W512D,F,F,T,T,F,187
117,Approved,Straight  Through Process,APRV,Married,Male,52,GRADUATE,RENTED,SALARIED,Pan Not Submitted,807,82,78.7,74.67,20000,10,CHIMNEY,GLEN,CHIMNEY VANILLA,F,F,T,F,F,141
118,Approved,Straight  Through Process,INV_GNR,Married,Female,26,GRADUATE,OWNED,SELF-EMPLOYED,Pan Not Submitted,771,55,78.07,78.18,35000,20,TELEVISION,VIDEOCON,VMP32HH23FA,T,F,F,F,F,187
119,Approved,Straight  Through Process,PD_DE,Married,Female,39,UNDER GRADUATE,OWNED,SALARIED,Pan Not Submitted,776,67,75.32,72.6,39000,12,AIR CONDITIONER,LG,JS-Q12NRXA,F,F,T,F,F,197
120,Approved,Straight  Through Process,PD_DE,Married,Male,26,GRADUATE,OWNED,SELF-EMPLOYED,ERROR,779,49,69.1,73.75,30000,12,AIR CONDITIONER,GODREJ,GSC 18 FFZH 3 RWPH,T,F,T,T,F,173
